,All,Hokkaido,Saitama,Chiba,Tokyo,Osaka,Hyogo,Yamaguchi,Nagasaki,Miyazaki
2018,34578,3702,6618,2172,11892,0,1134,0,0,0
2019,252551,18012,28212,13266,70766,2922,14760,0,2832,3639
2020,353535,21012,32904,21018,98589,10776,21738,0,9114,3312
2021,399522,29196,30873,18960,104199,18612,6894,1218,5610,2166
