,All,Hokkaido,Saitama,Chiba,Tokyo,Osaka,Hyogo,Yamaguchi,Nagasaki,Miyazaki
2018Apr,74412,2625,4105,3496,8726,5336,3208,730,828,701
2018May,78741,2891,4470,3865,9239,5660,3409,761,792,709
2018Jun,75906,2711,4302,3493,8874,5434,3199,740,825,706
2018Jul,79999,2828,4499,3856,9312,5873,3503,738,858,723
