,All,Hokkaido,Saitama,Chiba,Tokyo,Osaka,Hyogo,Yamaguchi,Nagasaki,Miyazaki
2022Jun,62432,2191,3554,2957,7673,4501,2732,658,603,572
2022Jul,66757,2311,3723,3188,8121,4943,2891,705,722,625
2022Aug,70950,2334,4067,3445,8467,5228,3096,733,796,649
2022Sep,69953,2339,4014,3324,8309,5318,2968,707,691,639
2022Oct,67449,2293,3725,3253,8114,5076,2958,655,773,610
2022Nov,62967,2056,3520,3005,7524,4707,2795,608,672,564
2022Dec,62163,2065,3588,2944,7327,4646,2633,617,714,609
